CITY,CIRCLE,STD
BEOHARI,MADHYA PRADESH & CHHATTISGARH  ,7650  
BERASIA,MADHYA PRADESH & CHHATTISGARH  ,7565  
BERCHHA,MADHYA PRADESH & CHHATTISGARH  ,7363  
BERHAMPUR,WEST BENGAL & ANDAMAN NIKOBAR  ,3482  
BERHAMPUR,ORISSA  ,680  
BERLA,MADHYA PRADESH & CHHATTISGARH  ,7825  
BERMO,BIHAR & JHARKHAND  ,6549  
BETANATI,ORISSA  ,6793  
BETHUADAHARI,WEST BENGAL & ANDAMAN NIKOBAR  ,3474  
BETTIAH,BIHAR & JHARKHAND  ,6254  
BETUL,MADHYA PRADESH & CHHATTISGARH  ,7141  
BHABHUA,BIHAR & JHARKHAND  ,6189  
BHACHAV,GUJRAT  ,2837  
BHADOHI,UTTAR PRADESH(EAST)  ,5414  
BHADRA,RAJASTHAN  ,1504  
BHADRACHALAM,ANDHRA PRADESH  ,8743  
BHADRAK,ORISSA  ,6784  
BHADRAVATI,KARNATAKA  ,8282  
BHADRAWATI,MAHARASHTRA  ,7175  
BHAGALPUR,BIHAR & JHARKHAND  ,641  
BHAINSA,ANDHRA PRADESH  ,8752  
BHAINSDEHI,MADHYA PRADESH & CHHATTISGARH  ,7143  
BHAIRONGARH,MADHYA PRADESH & CHHATTISGARH  ,7789  
BHALKI,KARNATAKA  ,8484  
BHAMREGADH,MAHARASHTRA  ,7134  
BHANDARA,MAHARASHTRA  ,7184  
BHANDARIA,BIHAR & JHARKHAND  ,6581  
BHANDER,MADHYA PRADESH & CHHATTISGARH  ,7523  
BHANJANAGAR,ORISSA  ,6821  
BHANPURA,MADHYA PRADESH & CHHATTISGARH  ,7427  
BHANUPRATAPPUR,MADHYA PRADESH & CHHATTISGARH  ,7850  
BHANVAD,GUJRAT  ,2896  
BHARATHPUR,MADHYA PRADESH & CHHATTISGARH  ,7835  
BHARATPUR,RAJASTHAN  ,5644  
BHARMOUR,HIMACHAL PRADESH  ,1895  
BHARTHANA,UTTAR PRADESH(EAST)  ,5680  
BHARUCH,GUJRAT  ,2642  
BHARWARI,UTTAR PRADESH(EAST)  ,5331  
BHATAPARA,MADHYA PRADESH & CHHATTISGARH  ,7726  
BHATINDA,PUNJAB  ,164  
BHATKAL,KARNATAKA  ,8385  
BHATWARI-I (GANGOTRI),UTTAR PRADESH(WEST) & UTTARAKHAND  ,1377  
BHATWARI-I (UTTARKASHI),UTTAR PRADESH(WEST) & UTTARAKHAND  ,1374  
BHAVANI,TAMILNADU  ,4256  
BHAVNAGAR,GUJRAT  ,278  
BHAWANATHPUR,BIHAR & JHARKHAND  ,6563  
BHAWANIPATNA,ORISSA  ,6670  
BHEEMUNIPATNAM,ANDHRA PRADESH  ,8933  
BHIKANGAON,MADHYA PRADESH & CHHATTISGARH  ,7288  
BHILAIGARH,MADHYA PRADESH & CHHATTISGARH  ,7729  
BHILODA,GUJRAT  ,2771  
BHILWARA,RAJASTHAN  ,1482  
BHIM (N),RAJASTHAN  ,2951  
BHIM (S) (DAWER),RAJASTHAN  ,2909  
BHIMADOLE,ANDHRA PRADESH  ,8829  
BHIMAVARAM,ANDHRA PRADESH  ,8816  
BHIMPUR,MADHYA PRADESH & CHHATTISGARH  ,7142  
BHIND,MADHYA PRADESH & CHHATTISGARH  ,7534  
BHINMAL (N),RAJASTHAN  ,2969  
BHINMAL (S) (JASAWANTPURA),RAJASTHAN  ,2990  
BHIR,MAHARASHTRA  ,2442  
BHITARWAR,MADHYA PRADESH & CHHATTISGARH  ,7525  
BHIWANDI,MAHARASHTRA  ,2522  
BHIWANI,HARYANA  ,1664  
BHIWAPUR,MAHARASHTRA  ,7106  
BHOGAON,UTTAR PRADESH(EAST)  ,5673  
BHOGNIPUR (PAKHRAYAN),UTTAR PRADESH(EAST)  ,5113  
BHOKAR,MAHARASHTRA  ,2467  
BHOKARDAN,MAHARASHTRA  ,2485  
BHONGIR,ANDHRA PRADESH  ,8685  
BHOOM,MAHARASHTRA  ,2478  
BHOORAGAMPHAD (MANUGURU),ANDHRA PRADESH  ,8746  
BHOPAL,MADHYA PRADESH & CHHATTISGARH  ,755  
BHOPALPATNAM,MADHYA PRADESH & CHHATTISGARH  ,7851  
BHOR,MAHARASHTRA  ,2113  
BHUBANESHWAR,ORISSA  ,674  
BHUDARGAD (GARGOTI),MAHARASHTRA  ,2599  
BHUJ,GUJRAT  ,2832  
BHUSAWAL,MAHARASHTRA  ,2582  
BIAORA,MADHYA PRADESH & CHHATTISGARH  ,7374  
BIDAR,KARNATAKA  ,8482  
BIDHUNA,UTTAR PRADESH(EAST)  ,5681  
BIDUPUR,BIHAR & JHARKHAND  ,6229  
BIHARSHARIF,BIHAR & JHARKHAND  ,6112  
BIHUPURIA,ASSAM  ,3759  
BIJADANDI,MADHYA PRADESH & CHHATTISGARH  ,7643  
BIJAPUR,KARNATAKA  ,8352  
BIJAPUR,MADHYA PRADESH & CHHATTISGARH  ,7853  
BIJAWAR,MADHYA PRADESH & CHHATTISGARH  ,7608  
BIJAYPUR,MADHYA PRADESH & CHHATTISGARH  ,7528  
BIJNI,ASSAM  ,3668  
BIJNORE-I,UTTAR PRADESH(WEST) & UTTARAKHAND  ,1342  
BIJNORE-II (CHANDPUR),UTTAR PRADESH(WEST) & UTTARAKHAND  ,1345  
BIKANER (E) (JAMSAR),RAJASTHAN  ,1522  
BIKANER (N) (CHHATARGARH),RAJASTHAN  ,1520  
BIKANER (S),RAJASTHAN  ,151  
BIKANER (W) (POOGAL),RAJASTHAN  ,1523  
BIKANER(C) (JAIMALSAR),RAJASTHAN  ,1521  
